Format Version,1.23,Take Name,hri_snimanje_vjezbe_02_z,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-01-22 08.37.42.196 AM,Capture Start Frame,170907,Total Frames in Take,2549,Total Exported Frames,2549,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,MarkerSet 001:mali,MarkerSet 001:mali,MarkerSet 001:mali,MarkerSet 001:palac,MarkerSet 001:palac,MarkerSet 001:palac,MarkerSet 001:srednji,MarkerSet 001:srednji,MarkerSet 001:srednji,MarkerSet 001:zapesce,MarkerSet 001:zapesce,MarkerSet 001:zapesce
,ID,"524E5026B0DF76111F0","524E5026B0DF76111F0","524E5026B0DF76111F0","51DE5026B0DF76111F0","51DE5026B0DF76111F0","51DE5026B0DF76111F0","51FE5026B0DF76111F0","51FE5026B0DF76111F0","51FE5026B0DF76111F0","517E5026B0DF76111F0","517E5026B0DF76111F0","517E5026B0DF76111F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
125,1.042000,22.720528,1444.302368,-33.205673,131.313705,1415.324951,-68.613045,64.150246,1439.614746,6.552702,52.494080,1460.402832,-119.057877
126,1.050000,22.702923,1444.296753,-33.178192,131.302048,1415.314331,-68.529938,64.128662,1439.576050,6.607104,52.507526,1460.373901,-119.009735
127,1.058000,22.678059,1444.275879,-33.111465,131.287537,1415.288208,-68.491844,64.138451,1439.557251,6.651035,52.484909,1460.370972,-118.969772
128,1.067000,22.698874,1444.240845,-33.053780,131.292282,1415.320679,-68.444382,64.180550,1439.530762,6.715027,52.480034,1460.368286,-118.923393
129,1.075000,22.763643,1444.202637,-32.998596,131.330734,1415.384766,-68.426407,64.257263,1439.513550,6.744882,52.452930,1460.382080,-118.900925
130,1.083000,22.813133,1444.187012,-32.955547,131.391052,1415.422852,-68.450165,64.335838,1439.552734,6.753381,52.462368,1460.394897,-118.861374
131,1.092000,22.882320,1444.173950,-32.916691,131.470673,1415.499023,-68.509323,64.468475,1439.579102,6.756392,52.477207,1460.409668,-118.825493
132,1.100000,22.933407,1444.220825,-32.890038,131.546356,1415.515991,-68.581863,64.527084,1439.630615,6.783278,52.489239,1460.424072,-118.834534
133,1.108000,22.954552,1444.255981,-32.877735,131.599365,1415.538330,-68.587570,64.549309,1439.666870,6.764708,52.563477,1460.436401,-118.812035
134,1.117000,22.934881,1444.291626,-32.897644,131.626190,1415.555420,-68.519341,64.546524,1439.698730,6.747906,52.584164,1460.461548,-118.856987
135,1.125000,22.940815,1444.359375,-32.957066,131.611084,1415.497070,-68.455101,64.484146,1439.725830,6.757700,52.637836,1460.487305,-118.870728
136,1.133000,22.912348,1444.406860,-32.999668,131.620438,1415.491699,-68.375076,64.435486,1439.751343,6.719428,52.700497,1460.482422,-118.920296
137,1.142000,22.904097,1444.493042,-33.049976,131.612259,1415.531372,-68.330658,64.420860,1439.851196,6.694942,52.747810,1460.540283,-118.946251
138,1.150000,22.913496,1444.631104,-33.095909,131.599335,1415.598999,-68.353447,64.446190,1439.974731,6.630548,52.803215,1460.603760,-119.012772
139,1.158000,22.924541,1444.741455,-33.148212,131.610779,1415.709961,-68.409096,64.456406,1440.127563,6.570159,52.852802,1460.683228,-119.090034
140,1.167000,22.964304,1444.851074,-33.153770,131.652054,1415.822266,-68.450012,64.530037,1440.257080,6.507228,52.862118,1460.731445,-119.141083
141,1.175000,23.063580,1444.941772,-33.157467,131.711334,1415.962524,-68.525108,64.660049,1440.389160,6.463398,52.865932,1460.824341,-119.169670
142,1.183000,23.141994,1444.980713,-33.151039,131.803711,1416.120605,-68.582970,64.797310,1440.472900,6.406209,52.832142,1460.883423,-119.182182
143,1.192000,23.160656,1445.009155,-33.127640,131.854599,1416.199463,-68.693626,64.871658,1440.535767,6.390484,52.818497,1460.932739,-119.212944
144,1.200000,23.195623,1444.978760,-33.131638,131.875824,1416.280518,-68.746834,64.926338,1440.534912,6.381150,52.799229,1460.977905,-119.184906
145,1.208000,23.174120,1444.983887,-33.092960,131.845795,1416.273438,-68.761040,64.915688,1440.498413,6.410215,52.765591,1460.978760,-119.194771
146,1.217000,23.130598,1444.992920,-33.108212,131.764664,1416.255371,-68.688492,64.830048,1440.470947,6.430545,52.741287,1461.015259,-119.164345
147,1.225000,22.963196,1445.037964,-33.120453,131.652588,1416.200317,-68.534828,64.662018,1440.492554,6.483302,52.719692,1461.039062,-119.086189
148,1.233000,22.836056,1445.098267,-33.072475,131.501266,1416.151367,-68.320320,64.434555,1440.533569,6.579865,52.691372,1461.041016,-119.056374
149,1.242000,22.667654,1445.176025,-33.080772,131.328110,1416.106934,-68.024391,64.176720,1440.585449,6.686235,52.694569,1461.063721,-118.954285
150,1.250000,22.529642,1445.278198,-33.027290,131.137497,1416.109497,-67.690369,63.956902,1440.664795,6.816951,52.688725,1461.077393,-118.857994
151,1.258000,22.398851,1445.330933,-32.959492,130.931854,1416.082520,-67.261879,63.783264,1440.703003,6.944386,52.658764,1461.057983,-118.742233
152,1.267000,22.311907,1445.362549,-32.824650,130.807190,1416.157959,-66.945374,63.670433,1440.734985,7.083213,52.634911,1461.021362,-118.620766
153,1.275000,22.301329,1445.328491,-32.667625,130.758392,1416.157715,-66.724716,63.648029,1440.722168,7.216626,52.623886,1460.993652,-118.481430
154,1.283000,22.335974,1445.256836,-32.446072,130.797546,1416.113281,-66.595154,63.698872,1440.653320,7.343894,52.628822,1460.955688,-118.301079
